Date,Share Code,Last Transaction Price (GHS),Total Value Traded,Total Shares Traded,Closing Offer Price (GHS),Closing Bid Price (GHS),Price Change (GHS),Closing Price VWAP (GHS),Opening Price (GHS),Previous Closing Price VWAP (GHS),Year Low (GHS),Year High (GHS)
25/06/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
26/06/2007,AADS,0,,200,,,0,0.342,0.342,0.342,0.3101,0.342
27/06/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
28/06/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
29/06/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
03/07/2007,AADS,0,,100,,,0,0.342,0.342,0.342,0.3101,0.342
04/07/2007,AADS,0,,400,,,0,0.342,0.342,0.342,0.3101,0.342
05/07/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
06/07/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
09/07/2007,AADS,0,,0,,,,0.342,0.342,0.342,0.3101,0.342
10/07/2007,AADS,0,,0,,,0,0.342,0.342,0.342,0.3101,0.342
11/07/2007,AADS,0,,3000,,,0.001,0.343,0.342,0.342,0.3101,0.343
12/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
13/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
16/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
17/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
18/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
19/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
20/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
23/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
24/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
25/07/2007,AADS,0,,0,,,0,0.343,0.343,0.343,0.3101,0.343
26/07/2007,AADS,0,,0,0.343,0,0,0.343,0.343,0.343,0.3101,0.343
27/07/2007,AADS,0,,1400,0.343,0,0,0.343,0.343,0.343,0.3101,0.343
30/07/2007,AADS,0,,1400,,,0.002,0.345,0.343,0.343,0.3101,0.345
31/07/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
01/08/2007,AADS,0,,1500,,,0,0.345,0.345,0.345,0.3101,0.345
02/08/2007,AADS,0,,0,0.345,0,0,0.345,0.345,0.345,0.3101,0.345
03/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
06/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
07/08/2007,AADS,0,,2300,,,0,0.345,0.345,0.345,0.3101,0.345
08/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
09/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
10/08/2007,AADS,0,,2700,,,0,0.345,0.345,0.345,0.3101,0.345
13/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
14/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
15/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
16/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
17/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
20/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
21/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
22/08/2007,AADS,0,,400,,,0,0.345,0.345,0.345,0.3101,0.345
23/08/2008,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
24/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
27/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
28/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
29/08/2007,AADS,0,,4500,,,0,0.345,0.345,0.345,0.3101,0.345
30/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
31/08/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
03/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
04/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
05/09/2007,AADS,0,,200,,,0,0.345,0.345,0.345,0.3101,0.345
06/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
07/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
10/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
11/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
12/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
13/09/2007,AADS,0,,4000,,,0,0.345,0.345,0.345,0.3101,0.345
14/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
17/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
18/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
19/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
20/09/2007,AADS,0,,0,,,0,0.345,0.345,0.345,0.3101,0.345
21/09/2007,AADS,0,,300,,,0,0.345,0.345,0.345,0.3101,0.345
24/09/2007,AADS,0,,17800,,,0,0.345,0.345,0.345,0.3101,0.345
