"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"01/02/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"31/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","2.00","8.02"
"30/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","92.00","368.92"
"27/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"26/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"24/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","19.00","76.19"
"23/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"20/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","2.00","8.02"
"19/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"18/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"17/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"16/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","2.00","8.02"
"13/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","53.00","212.53"
"12/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","60.00","240.60"
"11/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","5.00","20.05"
"10/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","11.00","44.11"
"06/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","16.00","64.16"
"05/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"04/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","12.00","48.12"
"03/01/2023","ACCESS","4.01","4.01","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"30/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","50.00","200.50"
"29/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","41.00","164.41"
"28/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","35.00","140.35"
"23/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"22/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","2.00","8.02"
"21/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","80.00","320.00"
"20/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","49.00","196.00"
"19/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","10.00","40.00"
"16/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","105.00","420.00"
"15/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","52.00","208.00"
"14/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.00","10.00","40.00"
"13/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","","0.00","0.00"
"12/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","12.00","48.12"
"09/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"08/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","0.00","0.00"
"07/12/2022","ACCESS","4.01","1.90","4.01","4.01","4.01","4.01","0","","4.01","1,097.00","4,398.97"
