"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"01/02/2023","MTNGH","0.88","0.82","0.82","0.82","0.87","0.87","0.05","0.82","0.88","19,702.00","17,140.59"
"31/01/2023","MTNGH","0.88","0.82","0.82","0.82","0.82","0.82","0","0.82","0.88","38,790.00","31,807.80"
"30/01/2023","MTNGH","0.88","0.82","0.88","0.88","0.82","0.82","-0.06","0.80","0.88","102,831.00","84,491.28"
"27/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.80","0.88","5,870.00","5,165.60"
"26/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.80","0.88","11,737.00","10,328.56"
"24/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.87","0.88","27,150.00","23,892.00"
"23/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.80","0.88","2,142.00","1,884.96"
"20/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","3,241.00","2,852.08"
"19/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","19,376.00","17,050.88"
"18/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","49,199.00","43,295.12"
"17/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.86","0.88","225,761.00","198,669.68"
"16/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.96","31,851.00","28,028.88"
"13/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.95","21,045.00","18,519.60"
"12/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.95","7,456.00","6,599.78"
"11/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","","43,816.00","38,558.08"
"10/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.94","100.00","88.00"
"06/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.94","7,529.00","6,625.52"
"05/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.95","4,291.00","3,776.08"
"04/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.95","27,511.00","24,209.68"
"03/01/2023","MTNGH","0.88","0.88","0.88","0.88","0.88","0.88","0","0.88","0.95","38,280.00","33,686.40"
"30/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","236,979.00","208,541.52"
"29/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","149,962.00","131,966.56"
"28/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.86","0.88","18,234.00","16,045.92"
"23/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","13,085,112.00","11,514,898.56"
"22/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","19,140.00","16,843.20"
"21/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","3,519.00","3,096.72"
"20/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","","1,108.00","975.04"
"19/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","","0.88","48,185.00","42,402.80"
"16/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","","0.88","10,006,592.00","8,805,800.96"
"15/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.85","0.88","368,345.00","324,219.92"
"14/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.85","0.88","17,697.00","15,573.36"
"13/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.85","0.88","268,019.00","235,856.72"
"12/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","0.96","5,095.00","4,483.60"
"09/12/2022","MTNGH","1.11","0.75","0.88","0.88","0.88","0.88","0","0.88","0.95","81,151.00","71,412.88"
