"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"01/02/2023","TOTAL","4.06","4.00","4.06","4.06","4.06","4.06","0","4.06","","0.00","0.00"
"31/01/2023","TOTAL","4.06","4.00","4.06","4.06","4.06","4.06","0","4.06","","0.00","0.00"
"30/01/2023","TOTAL","4.06","4.00","4.01","4.01","4.06","4.06","0.05","4.05","","41,152.00","167,077.12"
"27/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"26/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"24/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"23/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.05","","0.00","0.00"
"20/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.02","","0.00","0.00"
"19/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"18/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"17/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"16/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"13/01/2023","TOTAL","4.01","4.00","4.01","4.01","4.01","4.01","0","4.01","4.40","0.00","0.00"
"12/01/2023","TOTAL","4.01","4.00","4.00","4.00","4.01","4.01","0.01","4.01","4.40","1,052.00","4,218.52"
"11/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"10/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"06/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"05/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"04/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"03/01/2023","TOTAL","4.00","4.00","4.00","4.00","4.00","4.00","0","4.00","","39.00","156.00"
"30/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"29/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","10,278.00","41,112.00"
"28/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","464.00","1,856.00"
"23/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","229,575.00","918,300.00"
"22/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"21/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"20/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"19/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"16/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","0.00","0.00"
"15/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","3.60","4.00","16,008.00","64,032.00"
"14/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","3.60","4.00","27.00","108.00"
"13/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","3.60","4.00","244.00","976.00"
"12/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","3.60","4.00","113.00","452.00"
"09/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","3.60","4.00","1,156.00","4,624.00"
"08/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","4.05","1,212.00","4,848.00"
"07/12/2022","TOTAL","5.02","4.00","4.00","4.00","4.00","4.00","0","4.00","","152.00","608.00"
